Fecha,Precio elec. sin imp. €/kWh,Precio elec. €/kWh,País
Junio 2024,2451.0,3274,Italia
Diciembre 2023,2565.0,3347,Italia
Junio 2023,3230.0,3782,Italia
Diciembre 2022,3192.0,3641,Italia
Junio 2022,2671.0,3115,Italia
Diciembre 2021,1760.0,2360,Italia
Junio 2021,1432.0,2259,Italia
Diciembre 2020,1331.0,2153,Italia
Junio 2020,1382.0,2226,Italia
Diciembre 2019,1427.0,2341,Italia
Junio 2019,1432.0,2301,Italia
Diciembre 2018,1416.0,2161,Italia
Junio 2018,1285.0,2067,Italia
Diciembre 2017,1326.0,2080,Italia
Junio 2017,1322.0,2132,Italia
Diciembre 2016,1342.0,2261,Italia
Junio 2016,1376.0,2342,Italia
Diciembre 2015,1479.0,2428,Italia
Junio 2015,1507.0,2450,Italia
Diciembre 2014,1468.0,2338,Italia
Junio 2014,1539.0,2446,Italia
Diciembre 2013,1501.0,2323,Italia
Junio 2013,1498.0,2292,Italia
Diciembre 2012,1525.0,2297,Italia
Junio 2012,1445.0,2132,Italia
Diciembre 2011,1412.0,2065,Italia
Junio 2011,1397.0,1987,Italia
Diciembre 2010,1387.0,1920,Italia
Junio 2010,,1965,Italia
Diciembre 2009,,1997,Italia
Junio 2009,,2098,Italia
Diciembre 2008,,2227,Italia
Junio 2008,,2031,Italia
Junio 2024,2187.0,2776,Francia
Diciembre 2023,2161.0,2591,Francia
Junio 2023,1893.0,2300,Francia
Diciembre 2022,1723.0,2204,Francia
Junio 2022,1566.0,2092,Francia
Diciembre 2021,1356.0,2022,Francia
Junio 2021,1289.0,1946,Francia
Diciembre 2020,1292.0,1958,Francia
Junio 2020,1242.0,1893,Francia
Diciembre 2019,1260.0,1913,Francia
Junio 2019,1148.0,1778,Francia
Diciembre 2018,1168.0,1799,Francia
Junio 2018,1134.0,1748,Francia
Diciembre 2017,1132.0,1756,Francia
Junio 2017,1089.0,1704,Francia
Diciembre 2016,1106.0,1711,Francia
Junio 2016,1087.0,1685,Francia
Diciembre 2015,1113.0,1682,Francia
Junio 2015,1111.0,1676,Francia
Diciembre 2014,1164.0,1702,Francia
Junio 2014,1064.0,1585,Francia
Diciembre 2013,1105.0,1596,Francia
Junio 2013,1051.0,1524,Francia
Diciembre 2012,1070.0,1501,Francia
Junio 2012,986.0,1392,Francia
Diciembre 2011,1017.0,1422,Francia
Junio 2011,994.0,1383,Francia
Diciembre 2010,995.0,1350,Francia
Junio 2010,940.0,1283,Francia
Diciembre 2009,908.0,1207,Francia
Junio 2009,908.0,1206,Francia
Diciembre 2008,910.0,1203,Francia
Junio 2008,914.0,1213,Francia
Diciembre 2007,924.0,1222,Francia
Junio 2024,1841.0,2436,Espana
Diciembre 2023,2068.0,2347,Espana
Junio 2023,2165.0,2454,Espana
Diciembre 2022,2966.0,3350,Espana
Junio 2022,2579.0,3071,Espana
Diciembre 2021,1878.0,2816,Espana
Junio 2021,1358.0,2323,Espana
Diciembre 2020,1260.0,2298,Espana
Junio 2020,1178.0,2239,Espana
Diciembre 2019,1287.0,2394,Espana
Junio 2019,1326.0,2403,Espana
Diciembre 2018,1947.0,2477,Espana
Junio 2018,1873.0,2383,Espana
Diciembre 2017,1712.0,2177,Espana
Junio 2017,1805.0,2296,Espana
Diciembre 2016,1796.0,2284,Espana
Junio 2016,1718.0,2185,Espana
Diciembre 2015,1864.0,2370,Espana
Junio 2015,1815.0,2309,Espana
Diciembre 2014,1861.0,2367,Espana
Junio 2014,1702.0,2165,Espana
Diciembre 2013,1787.0,2273,Espana
Junio 2013,1752.0,2228,Espana
Diciembre 2012,1789.0,2275,Espana
Junio 2012,1766.0,2190,Espana
Diciembre 2011,1684.0,2088,Espana
Junio 2011,1597.0,1981,Espana
Diciembre 2010,1492.0,1851,Espana
Junio 2010,1417.0,1728,Espana
Diciembre 2009,1381.0,1684,Espana
Junio 2009,1294.0,1577,Espana
Diciembre 2008,1277.0,1557,Espana
Junio 2008,1124.0,1366,Espana
Diciembre 2007,1152.0,1400,Espana